Id,Label,timeset,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,modularity_class,indegree,outdegree,degree
151,gucci mane,,money,got,keep,callin',much,nigga,ho,dancing,bitch,yeah,go,catch,might,let,box,2,372,99,471
152,nicki minaj,,big,daddy,bitches,ain't,bitch,go,got,fuck,yeah,niggas,nigga,man,know,come,shit,2,222,29,251
153,yo gotti,,nigga,niggas,got,shit,ain't,real,rapping,know,trapping,100,see,blue,da,fuck,white,28,182,68,250
154,moneybagg yo,,right,shit,nigga,got,fuck,niggas,now,man,come,city,told,go,bitch,crazy,say,2,201,42,243
155,kreayshawn,,,,,,,,,,,,,,,,,28,14,66,80
156,kendrick lamar,,yah,im,know,much,fan,want,shit,levitate,niggas,bitch,high,hit,still,hoes,make,2,152,33,185
157,don trip,,,,,,,,,,,,,,,,,28,17,15,32
158,soulja boy,,,,,,,,,,,,,,,,,28,87,17,104
159,fabolous,,round,uh,ya,raw,huh,know,ain't,bitch,throw,bag,yeah,whoa,bounce,tell,man,28,236,44,280
160,lil uzi vert,,yeah,ayy,bitch,nigga,one,wanna,better,make,got,move,pop,fuck,drop,ooh,ain't,2,254,20,274
161,young thug,,fuck,girl,know,bitches,take,money,got,bitch,yeah,nigga,want,back,fucked,baby,'em,2,267,59,326
162,boosie badazz,,got,niggas,nigga,bitch,man,west,coast,love,ain't,know,one,bent,boosie,shit,crayola,28,132,35,167
163,kodak black,,got,ain't,want,keep,baby,wanna,love,know,shawty,now,money,need,nigga,even,ayy,2,227,27,254
164,saweetie,,yeah,niggas,many,got,nigga,shit,bitch,know,man,give,icy,fuck,hit,ain't,pretty,2,171,11,182
165,tyga,,bitch,nigga,shit,still,show,let,say,fuck,yeah,niggas,got,ain't,now,matter,wish,2,194,48,242
166,papoose,,,,,,,,,,,,,,,,,29,88,39,127
167,tink,,,,,,,,,,,,,,,,,2,17,40,57
168,birdman,,,,,,,,,,,,,,,,,28,85,32,117
169,2 pistols,,,,,,,,,,,,,,,,,28,12,100,112
170,rakim,,back,rakim,go,mic,uh,ill,long,real,niggas,hardcore,know,incredible,money,got,come,28,96,135,231
171,rasheeda,,,,,,,,,,,,,,,,,28,13,15,28
172,master p,,,,,,,,,,,,,,,,,28,47,34,81
173,b.g.,,,,,,,,,,,,,,,,,28,68,24,92
174,pitbull,,la,di,go,know,let,yuh,mi,girl,dj,'round,wid,love,baby,everybody,see,28,107,45,152
175,baby bash,,,,,,,,,,,,,,,,,72,78,40,118
176,shaggy,,,,,,,,,,,,,,,,,28,105,10,115
177,kardinal offishall,,,,,,,,,,,,,,,,,28,66,13,79
178,eminem,,,,,,,,,,,,,,,,,28,113,28,141
179,casual,,,,,,,,,,,,,,,,,29,59,0,59
180,city spud,,must,want,way,hey,money,go,oh,feel,now,take,ride,high,back,3wheeling,fo',28,55,151,206
181,ciara,,,,,,,,,,,,,,,,,28,48,24,72
182,young bleed,,,,,,,,,,,,,,,,,72,47,45,92
183,yelawolf,,,,,,,,,,,,,,,,,28,48,26,74
184,tinchy stryder,,,,,,,,,,,,,,,,,6,19,51,70
185,chinx,,,,,,,,,,,,,,,,,29,31,25,56
186,lil' flip,,make,got,nigga,rain,cause,ya,flip,niggas,ain't,know,now,lil',see,wit,boy,28,127,28,155
187,jim jones,,'em,got,man,make,rain,money,know,kitchen,nigga,weather,niggas,love,ain't,look,hey,29,147,72,219
188,aceyalone,,,,,,,,,,,,,,,,,29,35,35,70
189,gwen stefani,,,,,,,,,,,,,,,,,28,130,8,138
190,tone trump,,,,,,,,,,,,,,,,,29,27,98,125
191,nelly furtado,,,,,,,,,,,,,,,,,28,98,3,101
